state_or_region,constituency_number,constituency_name,ward_village_number,ward_village
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,12,အမှတ် (3)ရပ်ကွက်(ဘောဂလိမြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,13,အမှတ်(4)ရပ်ကွက်(ဘောဂလိမြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,14,တောပြာကြီးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,15,ရွာကြီးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,16,စီပင်ကြီးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,17,စီပင်ကလေးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,18,ကျွဲဖြူတောင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,19,မောင်နွဲ့ကြီးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,20,ခုံတိုင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,21,ဒါဝါလော်ချီကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,22,လယ်ခိုဒိုးခိုကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,23,လိပ်ပြာကလေးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,24,လိပ်ပြာကြီးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,25,သပြေညွန့်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,26,မဲတင်းတိမ်ကျေးရွာအုပ်စု
